cli_pl_header	cli_pl_body	cli_cont_len	srv_pl_header	srv_pl_body	srv_cont_len	aggregated_sessions	bytes	net_samples	tcp_frag	tcp_pkts	tcp_retr	tcp_ooo	cli_tcp_pkts	cli_tcp_ooo	cli_tcp_retr	cli_tcp_frag	cli_tcp_empty	cli_win_change	cli_win_zero	cli_tcp_full	cli_tcp_tot_bytes	cli_pl_tot	cli_pl_change	srv_tcp_pkts	srv_tcp_ooo	srv_tcp_retr	srv_tcp_frag	srv_tcp_empty	srv_win_change	srv_win_zero	srv_tcp_full	srv_tcp_tot_bytes	srv_pl_tot	srv_pl_change	srv_tcp_win	srv_tx_time	cli_tcp_win	client_latency	application_latency	cli_tx_time	load_time	server_latency	proxy	sp_healthscore	sp_req_duration	sp_is_lat	sp_error	throughput
667	0	0	336	143151	143151	1	155494	1	0	162	0	0	55	0	0	0	54	5	0	0	4517	667	1	107	0	0	0	0	4	0	0	150977	143487	2	1045888	691.231	522944	36.548	2.195	0.0	766.522	1.097	0	0	0	0	0	202.856539016
667	0	0	336	143151	143151	1	310988	1	0	324	108	0	110	0	1	0	108	5	0	0	9034	667	1	214	0	107	0	0	4	0	0	301954	143487	2	1045888	690.926	522944	36.291	2.988	0.0	766.496	1.494	0	0	0	0	0	405.726840062
667	0	0	336	143151	143151	1	310988	1	0	324	108	0	110	0	1	0	108	5	0	0	9034	667	1	214	0	107	0	0	4	0	0	301954	143487	2	1045888	691.257	522944	36.539	2.209	0.0	766.544	1.104	0	0	0	0	0	405.701433969
592	0	0	238	1269	1269	1	2401	1	0	5	0	0	3	0	0	0	2	1	0	0	778	592	1	2	0	0	0	0	0	0	0	1623	1507	2	66176	0.082	68992	144.926	3.278	0.0	293.212	1.639	0	0	0	0	0	8.1886143814
592	0	0	238	1269	1269	1	4802	1	0	10	3	0	6	0	1	0	4	1	0	0	1556	592	1	4	0	2	0	0	0	0	0	3246	1507	2	66176	0.111	68992	144.901	3.292	0.0	293.205	1.646	0	0	0	0	0	16.3776197541
592	0	0	238	1269	1269	1	4802	1	0	10	3	0	6	0	1	0	4	1	0	0	1556	592	1	4	0	2	0	0	0	0	0	3246	1507	2	66176	0.194	68992	144.735	3.852	0.0	293.516	1.926	0	0	0	0	0	16.3602665613
589	0	0	239	2165	2165	1	3295	1	0	5	0	0	3	0	0	0	2	2	0	0	775	589	1	2	0	0	0	0	0	0	0	2520	2404	2	180224	0.056	182144	153.036	3.302	0.0	309.43	1.651	0	0	0	0	0	10.6486119639
588	0	0	238	1421	1421	1	2549	1	0	5	0	0	3	0	0	0	2	1	0	0	774	588	1	2	0	0	0	0	0	0	0	1775	1659	2	118784	0.043	121728	149.457	4.445	0.0	303.402	2.222	0	0	0	0	0	8.40139484908
588	0	0	238	1421	1421	1	5098	1	0	10	3	0	6	0	1	0	4	2	0	0	1548	588	1	4	0	2	0	0	0	0	0	3550	1659	2	118784	0.052	124544	149.066	5.393	0.0	303.577	2.696	0	0	0	0	0	16.7931035619
588	0	0	238	1421	1421	1	5098	1	0	10	3	0	6	0	1	0	4	2	0	0	1548	588	1	4	0	2	0	0	0	0	0	3550	1659	2	118784	0.053	124544	149.443	4.46	0.0	303.399	2.23	0	0	0	0	0	16.8029558436
589	0	0	239	2165	2165	1	6590	1	0	10	3	0	6	0	1	0	4	3	0	0	1550	589	1	4	0	2	0	0	0	0	0	5040	2404	2	180224	0.065	181248	153.026	3.315	0.0	309.432	1.657	0	0	0	0	0	21.2970862742
589	0	0	239	2165	2165	1	6590	1	0	10	3	0	6	0	1	0	4	3	0	0	1550	589	1	4	0	2	0	0	0	0	0	5040	2404	2	180224	0.016	181248	152.878	3.799	0.0	309.571	1.899	0	0	0	0	0	21.2875237022
388	177	177	295	425	425	1	1873	1	0	10	0	0	5	0	0	0	3	0	0	0	859	565	2	5	0	0	0	3	0	0	0	1014	720	2	32768	0.041	65536	0.055	1.908	0.142	2.201	0.001	0	0	0	0	0	850.976828714
388	287	287	295	267	267	1	1573	1	0	6	0	0	3	0	0	0	1	0	0	0	843	675	2	3	0	0	0	1	0	0	0	730	562	2	32384	0.026	64768	0.053	1.275	0.227	1.634	0.054	0	0	0	0	0	962.668298654
119	78946	78946	492	54532	54971	1	291208	1	0	316	95	0	152	0	55	0	42	24	0	108	168786	79065	2	164	0	40	0	86	6	0	76	122422	55024	1	140160	588.589	140160	144.694	246.52	587.776	1712.273	0.003	0	0	0	0	0	170.071010873
592	0	0	239	5496	5496	1	6995	1	0	11	0	0	6	0	0	0	5	4	0	0	970	592	1	5	0	0	0	0	0	0	0	6025	5735	2	31232	0.198	42496	152.017	3.277	0.0	307.509	1.638	0	0	0	0	0	22.747301705
119	78946	78946	492	54532	54971	1	291208	1	0	316	95	0	152	0	55	0	42	21	0	108	168786	79065	2	164	0	40	0	86	6	0	76	122422	55024	1	140160	588.078	140160	144.613	247.095	588.05	1712.449	0.045	0	0	0	0	0	170.053531521
119	77498	78946	492	54532	54971	1	144086	1	0	157	1	16	75	16	0	0	21	18	0	53	82875	77617	2	82	0	1	0	43	5	0	38	61211	55024	1	140160	588.405	140160	144.699	246.609	587.686	1712.098	0.018	0	0	0	0	0	84.1575657468
592	0	0	239	5496	5496	1	13990	1	0	22	6	0	12	0	1	0	10	4	0	0	1940	592	1	10	0	5	0	0	0	0	0	12050	5735	2	31232	0.287	42496	152.003	3.305	0.0	307.598	1.652	0	0	0	0	0	45.4814400614
592	0	0	239	5496	5496	1	13990	1	0	22	6	0	12	0	1	0	10	4	0	0	1940	592	1	10	0	5	0	0	0	0	0	12050	5735	2	31232	0.077	42496	151.868	3.779	0.0	307.592	1.889	0	0	0	0	0	45.4823272387
592	0	0	239	4752	4752	1	6129	1	0	9	0	0	5	0	0	0	4	3	0	0	906	592	1	4	0	0	0	0	0	0	0	5223	4991	2	115968	0.193	124544	155.667	7.661	0.0	319.188	3.83	0	0	0	0	0	19.2018496936
592	0	0	239	4752	4752	1	12258	1	0	18	5	0	10	0	1	0	8	4	0	0	1812	592	1	8	0	4	0	0	0	0	0	10446	4991	2	115968	0.073	127360	155.555	8.291	0.0	319.474	4.145	0	0	0	0	0	38.369319569
592	0	0	239	4752	4752	1	12258	1	0	18	5	0	10	0	1	0	8	4	0	0	1812	592	1	8	0	4	0	0	0	0	0	10446	4991	2	115968	0.212	127360	155.648	7.677	0.0	319.185	3.838	0	0	0	0	0	38.4040603412
388	176	176	295	119	119	1	1494	1	0	9	0	0	5	0	0	0	3	1	0	0	852	564	2	4	0	0	0	2	1	0	0	642	414	2	32768	0.085	65536	0.183	44.342	0.014	44.807	0.097	0	0	0	0	0	33.3430044413
590	0	0	238	1070	1070	1	2078	1	0	3	0	0	2	0	0	0	1	0	0	0	712	590	1	1	0	0	0	0	0	0	0	1366	1308	1	42496	0.0	42496	146.853	3.616	0.0	297.322	1.808	0	0	0	0	0	6.98905563665
590	0	0	238	1070	1070	1	4156	1	0	6	2	0	4	0	1	0	2	1	0	0	1424	590	1	2	0	1	0	0	0	0	0	2732	1308	1	42496	0.0	45312	146.843	3.646	0.0	297.332	1.823	0	0	0	0	0	13.9776411553
590	0	0	238	1070	1070	1	4156	1	0	6	2	0	4	0	1	0	2	1	0	0	1424	590	1	2	0	1	0	0	0	0	0	2732	1308	1	42496	0.0	45312	146.596	4.202	0.0	297.394	2.101	0	0	0	0	0	13.9747271297
587	0	0	238	1706	1706	1	2833	1	0	5	0	0	3	0	0	0	2	1	0	0	773	587	1	2	0	0	0	0	0	0	0	2060	1944	2	224640	0.166	227456	161.543	3.402	0.0	326.654	1.701	0	0	0	0	0	8.67278527127
587	0	0	238	1706	1706	1	5666	1	0	10	3	0	6	0	1	0	4	2	0	0	1546	587	1	4	0	2	0	0	0	0	0	4120	1944	2	224640	0.055	230272	161.418	3.936	0.0	326.827	1.968	0	0	0	0	0	17.3363889764
587	0	0	238	1706	1706	1	5666	1	0	10	3	0	6	0	1	0	4	2	0	0	1546	587	1	4	0	2	0	0	0	0	0	4120	1944	2	224640	0.157	230272	161.542	3.417	0.0	326.658	1.708	0	0	0	0	0	17.3453581422
586	0	0	238	3115	3115	1	4363	1	0	7	0	0	4	0	0	0	3	2	0	0	836	586	1	3	0	0	0	0	0	0	0	3527	3353	2	53248	0.046	59008	155.949	3.288	0.0	315.232	1.644	0	0	0	0	0	13.8405999391
586	0	0	238	3115	3115	1	8726	1	0	14	4	0	8	0	1	0	6	3	0	0	1672	586	1	6	0	3	0	0	0	0	0	7054	3353	2	53248	0.068	61824	155.933	3.303	0.0	315.237	1.651	0	0	0	0	0	27.6807608244
586	0	0	238	3115	3115	1	8726	1	0	14	4	0	8	0	1	0	6	3	0	0	1672	586	1	6	0	3	0	0	0	0	0	7054	3353	2	53248	0.206	61824	155.677	4.16	0.0	315.72	2.08	0	0	0	0	0	27.6384137844
589	0	0	238	1622	1622	1	2751	1	0	5	0	0	3	0	0	0	2	1	0	0	775	589	1	2	0	0	0	0	0	0	0	1976	1860	2	124544	0.04	127360	148.904	3.268	0.0	301.116	1.634	0	0	0	0	0	9.13601402782
588	0	0	238	1389	1389	1	2517	1	0	5	0	0	3	0	0	0	2	1	0	0	774	588	1	2	0	0	0	0	0	0	0	1743	1627	2	182144	0.076	182144	153.654	5.118	0.0	312.502	2.559	0	0	0	0	0	8.05434845217
588	0	0	238	1389	1389	1	5034	1	0	10	3	0	6	0	1	0	4	3	0	0	1548	588	1	4	0	2	0	0	0	0	0	3486	1627	2	182144	0.009	182144	153.47	5.711	0.0	312.66	2.855	0	0	0	0	0	16.1005565151
589	0	0	238	1622	1622	1	5502	1	0	10	3	0	6	0	1	0	4	2	0	0	1550	589	1	4	0	2	0	0	0	0	0	3952	1860	2	124544	0.061	130176	148.863	3.263	0.0	301.05	1.631	0	0	0	0	0	18.2760338814
588	0	0	238	1389	1389	1	5034	1	0	10	3	0	6	0	1	0	4	2	0	0	1548	588	1	4	0	2	0	0	0	0	0	3486	1627	2	182144	0.15	182016	153.605	5.178	0.0	312.538	2.589	0	0	0	0	0	16.1068414081
588	0	0	238	1451	1451	1	2579	1	0	5	0	0	3	0	0	0	2	1	0	0	774	588	1	2	0	0	0	0	0	0	0	1805	1689	2	68992	0.107	71808	144.586	3.281	0.0	292.56	1.64	0	0	0	0	0	8.81528575335
589	0	0	238	1622	1622	1	5502	1	0	10	3	0	6	0	1	0	4	2	0	0	1550	589	1	4	0	2	0	0	0	0	0	3952	1860	2	124544	0.013	130176	148.74	4.142	0.0	301.635	2.071	0	0	0	0	0	18.2405887911
588	0	0	238	1451	1451	1	5158	1	0	10	3	0	6	0	1	0	4	2	0	0	1548	588	1	4	0	2	0	0	0	0	0	3610	1689	2	68992	0.069	74624	144.559	3.241	0.0	292.428	1.62	0	0	0	0	0	17.6385298261
588	0	0	238	1451	1451	1	5158	1	0	10	3	0	6	0	1	0	4	2	0	0	1548	588	1	4	0	2	0	0	0	0	0	3610	1689	2	68992	0.008	74624	144.439	4.041	0.0	292.927	2.02	0	0	0	0	0	17.6084826595
303	0	0	265	0	1576	1	2568	1	0	20	2	0	10	0	1	0	8	2	0	0	1322	303	1	10	0	1	0	8	2	0	0	1246	265	1	55296	0.0	6912	3.087	495.592	0.0	501.766	3.574	0	0	0	0	0	5.11792349422
303	0	0	265	0	1576	1	2568	1	0	20	2	0	10	0	1	0	8	2	0	0	1322	303	1	10	0	1	0	8	2	0	0	1246	265	1	55296	0.0	6912	2.992	496.509	0.0	502.493	4.002	0	0	0	0	0	5.1105189525
588	0	0	238	1363	1363	1	4982	1	0	10	3	0	6	0	1	0	4	2	0	0	1548	588	1	4	0	2	0	0	0	0	0	3434	1601	2	42496	0.008	48128	151.163	4.581	0.0	306.915	2.29	0	0	0	0	0	16.2325073717
588	0	0	238	1363	1363	1	2427	1	0	4	0	0	2	0	0	0	1	0	0	0	710	588	1	2	0	0	0	0	0	0	0	1717	1601	2	42496	0.157	42496	151.367	3.598	0.0	306.489	1.799	0	0	0	0	0	7.91871812691
588	0	0	238	1363	1363	1	4982	1	0	10	3	0	6	0	1	0	4	2	0	0	1548	588	1	4	0	2	0	0	0	0	0	3434	1601	2	42496	0.177	48128	151.318	3.67	0.0	306.483	1.835	0	0	0	0	0	16.2553877377
590	0	0	238	1342	1342	1	2472	1	0	5	0	0	3	0	0	0	2	1	0	0	776	590	1	2	0	0	0	0	0	0	0	1696	1580	2	127360	0.046	130176	156.244	4.719	0.0	317.253	2.359	0	0	0	0	0	7.79188849278
590	0	0	238	1342	1342	1	4944	1	0	10	3	0	6	0	1	0	4	2	0	0	1552	590	1	4	0	2	0	0	0	0	0	3392	1580	2	127360	0.013	132992	156.075	5.343	0.0	317.506	2.671	0	0	0	0	0	15.5713592814
590	0	0	238	1342	1342	1	4944	1	0	10	3	0	6	0	1	0	4	2	0	0	1552	590	1	4	0	2	0	0	0	0	0	3392	1580	2	127360	0.183	132992	156.158	4.763	0.0	317.262	2.381	0	0	0	0	0	15.5833349093
666	0	0	332	8512	8512	1	20980	1	0	28	8	0	14	0	1	0	12	1	0	0	2312	666	1	14	0	7	0	0	0	0	0	18668	8844	2	1045888	0.103	522624	34.992	1.374	0.0	71.461	0.687	0	0	0	0	0	293.586711633
666	0	0	332	8512	8512	1	20980	1	0	28	8	0	14	0	1	0	12	1	0	0	2312	666	1	14	0	7	0	0	0	0	0	18668	8844	2	1045888	0.099	522624	35.152	0.786	0.0	71.189	0.393	0	0	0	0	0	294.708452149
666	0	0	332	8512	8512	1	10490	1	0	14	0	0	7	0	0	0	6	0	0	0	1156	666	1	7	0	0	0	0	0	0	0	9334	8844	2	1045888	0.033	522944	35.181	0.755	0.0	71.15	0.377	0	0	0	0	0	147.434996486
595	0	0	238	1077	1077	1	2090	1	0	3	0	0	2	0	0	0	1	0	0	0	717	595	1	1	0	0	0	0	0	0	0	1373	1315	1	45312	0.0	45312	143.971	3.355	0.0	291.297	1.677	0	0	0	0	0	7.17480784217
595	0	0	238	1077	1077	1	4180	1	0	6	2	0	4	0	1	0	2	1	0	0	1434	595	1	2	0	1	0	0	0	0	0	2746	1315	1	45312	0.0	48128	143.758	3.984	0.0	291.5	1.992	0	0	0	0	0	14.3396226415
595	0	0	238	1077	1077	1	4180	1	0	6	2	0	4	0	1	0	2	1	0	0	1434	595	1	2	0	1	0	0	0	0	0	2746	1315	1	45312	0.0	48128	143.933	3.395	0.0	291.261	1.697	0	0	0	0	0	14.3513893038
595	0	0	238	1510	1510	1	2645	1	0	5	0	0	3	0	0	0	2	1	0	0	781	595	1	2	0	0	0	0	0	0	0	1864	1748	2	230272	0.049	233088	162.038	3.205	0.0	327.33	1.602	0	0	0	0	0	8.08053035163
595	0	0	238	1510	1510	1	5290	1	0	10	3	0	6	0	1	0	4	2	0	0	1562	595	1	4	0	2	0	0	0	0	0	3728	1748	2	230272	0.069	235904	162.016	3.25	0.0	327.351	1.625	0	0	0	0	0	16.1600239498
595	0	0	238	1510	1510	1	5290	1	0	10	3	0	6	0	1	0	4	2	0	0	1562	595	1	4	0	2	0	0	0	0	0	3728	1748	2	230272	0.006	235904	161.89	3.816	0.0	327.602	1.908	0	0	0	0	0	16.1476425663
595	0	0	238	1356	1356	1	2491	1	0	5	0	0	3	0	0	0	2	1	0	0	781	595	1	2	0	0	0	0	0	0	0	1710	1594	2	61824	0.089	64640	159.549	3.436	0.0	322.623	1.718	0	0	0	0	0	7.72108622138
595	0	0	238	1356	1356	1	4982	1	0	10	3	0	6	0	1	0	4	2	0	0	1562	595	1	4	0	2	0	0	0	0	0	3420	1594	2	61824	0.111	67456	159.551	3.491	0.0	322.704	1.745	0	0	0	0	0	15.4382963955
